incident_id,source_field,source_value,mapped_ethics_issue,mapped_application_area,mapping_reason
374,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
374,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
120,text_for_classification,gpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
120,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
356,text_for_classification,gpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
356,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
103,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
103,text_for_classification,racial bias,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
366,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
366,text_for_classification,suicide,Mental health,,Matched mental-health or emotional-harm terms.
125,text_for_classification,robotic,,Intelligent service robots,Matched robotics or embodied-system terms.
125,text_for_classification,injury,Physical safety,,"Matched physical harm, collision, or fatality terms."
282,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
282,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
191,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
191,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
87,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
87,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
86,text_for_classification,exam,,AI education,Matched education-related deployment terms.
86,text_for_classification,eligibility,Unfair algorithm (evaluation),,"Matched automated evaluation, scoring, or eligibility terms."
86,text_for_classification,incorrect,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
76,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
76,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
84,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
84,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
85,text_for_classification,gpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
85,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
209,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
209,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
81,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
81,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
82,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
82,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
83,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
83,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
97,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
97,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
80,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
80,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
996,text_for_classification,llama,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
996,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
287,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
287,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
381,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
381,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
348,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
348,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
220,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
220,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
219,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
219,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
219,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
94,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
94,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
94,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
131,text_for_classification,exam,,AI education,Matched education-related deployment terms.
131,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
136,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
136,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
133,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
133,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
133,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
299,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
299,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
91,text_for_classification,hospital,,Smart healthcare,Matched healthcare or clinical terms.
91,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
106,text_for_classification,chatbot,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
106,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
273,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
273,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
134,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
134,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
132,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
132,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
212,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
212,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1118,text_for_classification,recruitment,,AI recruitment,Matched hiring or candidate-screening terms.
1118,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
207,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
207,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
137,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
137,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
318,text_for_classification,recommended,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
318,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
363,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
363,text_for_classification,misogyn,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
139,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
139,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
158,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
158,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
141,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
141,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
759,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
759,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
759,text_for_classification,emotional distress,Mental health,,Matched mental-health or emotional-harm terms.
142,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
142,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
104,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
104,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
143,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
143,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
242,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
242,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
242,text_for_classification,failure,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
286,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
286,text_for_classification,fatal,Physical safety,,"Matched physical harm, collision, or fatality terms."
129,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
129,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
1109,text_for_classification,hospital,,Smart healthcare,Matched healthcare or clinical terms.
1109,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
395,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
395,text_for_classification,biometric data,Privacy,,"Matched privacy, surveillance, or data-protection terms."
157,text_for_classification,delivery driver,,AI supervision,Matched worker supervision or algorithmic management terms.
157,text_for_classification,crash,Physical safety,,"Matched physical harm, collision, or fatality terms."
302,text_for_classification,exam,,AI education,Matched education-related deployment terms.
302,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
100,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
100,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
333,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
333,text_for_classification,injured,Physical safety,,"Matched physical harm, collision, or fatality terms."
265,text_for_classification,delivery driver,,AI supervision,Matched worker supervision or algorithmic management terms.
265,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
265,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
402,text_for_classification,gpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
402,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
345,text_for_classification,auto-insurance,,Smart finance,"Matched finance, insurance, or trading terms."
345,text_for_classification,inaccurate,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
337,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
337,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
716,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
716,text_for_classification,died,Physical safety,,"Matched physical harm, collision, or fatality terms."
1396,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1396,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
1396,text_for_classification,suicide,Mental health,,Matched mental-health or emotional-harm terms.
1396,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
98,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
98,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
534,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
534,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
208,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
208,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
347,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
347,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
456,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
456,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
359,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
359,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
291,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
291,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
475,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
475,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
533,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
533,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
401,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
401,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
425,text_for_classification,claim payout,,Smart finance,"Matched finance, insurance, or trading terms."
425,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
425,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
1476,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
1476,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1476,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
240,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
240,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
344,text_for_classification,hiring,,AI recruitment,Matched hiring or candidate-screening terms.
344,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
603,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
603,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
435,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
435,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
108,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
108,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
343,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
343,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
343,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
152,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
152,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
126,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
126,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
362,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
362,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
145,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
145,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
173,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
173,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
123,text_for_classification,hospital,,Smart healthcare,Matched healthcare or clinical terms.
123,text_for_classification,inaccurate,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
605,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
605,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
119,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
119,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
312,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
312,text_for_classification,racial bias,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
292,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
292,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
438,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
438,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
116,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
116,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
197,text_for_classification,ranking algorithm,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
197,text_for_classification,failure,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
846,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
846,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
360,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
360,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
171,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
171,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
298,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
298,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
146,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
146,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
151,text_for_classification,driverless,,Autonomous driving,Matched autonomous-driving terms.
151,text_for_classification,fatal,Physical safety,,"Matched physical harm, collision, or fatality terms."
450,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
450,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
149,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
149,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
304,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
304,text_for_classification,fatal,Physical safety,,"Matched physical harm, collision, or fatality terms."
256,text_for_classification,shotspotter,,Predictive policing,Matched policing or criminal-justice terms.
256,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
620,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
620,text_for_classification,injured,Physical safety,,"Matched physical harm, collision, or fatality terms."
148,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
148,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
163,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
163,text_for_classification,racist,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
163,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
202,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
202,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
611,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
611,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
393,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
393,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
211,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
211,text_for_classification,injured,Physical safety,,"Matched physical harm, collision, or fatality terms."
569,text_for_classification,chatbot,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
569,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
160,text_for_classification,recommended,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
160,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
155,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
155,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
276,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
276,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
946,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
946,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
277,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
277,text_for_classification,stolen,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
266,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
266,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
300,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
300,text_for_classification,misogyn,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
630,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
630,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
154,text_for_classification,recidivism,,Predictive policing,Matched policing or criminal-justice terms.
154,text_for_classification,risk assessment,Unfair algorithm (evaluation),,"Matched automated evaluation, scoring, or eligibility terms."
154,text_for_classification,misclassif,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
156,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
156,text_for_classification,suicide,Mental health,,Matched mental-health or emotional-harm terms.
187,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
187,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
203,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
203,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
181,text_for_classification,autonomous vehicle,,Autonomous driving,Matched autonomous-driving terms.
181,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
204,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
204,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
301,text_for_classification,exam,,AI education,Matched education-related deployment terms.
301,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
400,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
400,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
968,text_for_classification,llm,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
968,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
205,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
205,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
174,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
174,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
168,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
168,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
185,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
185,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
264,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
264,text_for_classification,surveillance,Privacy,,"Matched privacy, surveillance, or data-protection terms."
176,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
176,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
465,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
465,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
221,text_for_classification,autopilot,,Autonomous driving,Matched autonomous-driving terms.
221,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
221,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
427,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
427,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
198,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
198,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
192,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
192,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
349,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
349,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
175,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
175,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
179,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
179,text_for_classification,racial bias,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
519,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
519,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
389,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
389,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
378,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
378,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
236,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
236,text_for_classification,impersonat,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
903,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
903,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
177,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
177,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
431,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
431,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
178,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
178,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
911,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
911,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
520,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
520,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
258,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
258,text_for_classification,without consent,Privacy,,"Matched privacy, surveillance, or data-protection terms."
638,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
638,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
638,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
253,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
253,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
844,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
844,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
844,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
252,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
252,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
259,text_for_classification,gpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
259,text_for_classification,misogyn,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
259,text_for_classification,incorrect,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
290,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
290,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
293,text_for_classification,self-driving,,Autonomous driving,Matched autonomous-driving terms.
293,text_for_classification,injury,Physical safety,,"Matched physical harm, collision, or fatality terms."
262,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
262,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
460,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
460,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1559,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1559,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1436,text_for_classification,surgery,,Smart healthcare,Matched healthcare or clinical terms.
1436,text_for_classification,injury,Physical safety,,"Matched physical harm, collision, or fatality terms."
390,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
390,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
285,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
285,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
241,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
